epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
170,2090.05,0.57511,0.36039,0.89738,0.93837,0.76,0.8442,0.46595,1.65263,0.83182,1.59916,0.00066538,0.00066538,0.00066538
171,2103.05,0.55946,0.33921,0.87526,0.93641,0.76,0.88272,0.47617,1.60953,0.78817,1.58734,0.0006634,0.0006634,0.0006634
172,2115.09,0.5317,0.33679,0.88246,0.95196,0.7929,0.88874,0.4571,1.6275,0.76393,1.65392,0.00066142,0.00066142,0.00066142
173,2126.67,0.53785,0.32797,0.86684,0.94438,0.8,0.89059,0.4532,1.62139,0.77637,1.65838,0.00065944,0.00065944,0.00065944
174,2139.19,0.54186,0.35647,0.8667,0.95223,0.7975,0.87738,0.48714,1.55801,0.73797,1.58754,0.00065746,0.00065746,0.00065746
175,2152.08,0.5407,0.35244,0.8712,0.95083,0.8,0.90215,0.51363,1.61054,0.80633,1.62635,0.00065548,0.00065548,0.00065548
176,2164.36,0.531,0.35652,0.87527,0.95224,0.79768,0.90451,0.5034,1.63401,0.8322,1.694,0.0006535,0.0006535,0.0006535
177,2176.85,0.5714,0.36252,0.89007,0.95212,0.79563,0.91275,0.50377,1.64957,0.81162,1.73106,0.00065152,0.00065152,0.00065152
178,2189.38,0.54932,0.34777,0.87826,0.99557,0.76,0.90678,0.48592,1.66352,0.83076,1.74088,0.00064954,0.00064954,0.00064954
179,2202.05,0.51088,0.32898,0.87015,0.90424,0.75559,0.84683,0.48657,1.66338,0.81205,1.68165,0.00064756,0.00064756,0.00064756
